date,closing_price,prev_price_diff,opening_price,high_price,low_price,volume,company_name
2014.08.13,"1,264,000","2,000","1,275,000","1,275,000","1,248,000","256,900",삼성전자
2014.08.12,"1,266,000","4,000","1,270,000","1,294,000","1,262,000","179,914",삼성전자
2014.08.11,"1,270,000","20,000","1,275,000","1,282,000","1,257,000","372,385",삼성전자
2014.08.08,"1,250,000","40,000","1,284,000","1,285,000","1,248,000","412,429",삼성전자
2014.08.07,"1,290,000","10,000","1,300,000","1,302,000","1,285,000","190,545",삼성전자
2014.08.06,"1,300,000","16,000","1,306,000","1,316,000","1,295,000","216,602",삼성전자
2014.08.05,"1,316,000","1,000","1,301,000","1,321,000","1,300,000","172,529",삼성전자
2014.08.04,"1,317,000","25,000","1,300,000","1,317,000","1,291,000","241,335",삼성전자
2014.08.01,"1,292,000","51,000","1,305,000","1,328,000","1,292,000","564,621",삼성전자
2014.07.31,"1,343,000","52,000","1,374,000","1,385,000","1,336,000","487,027",삼성전자
2014.07.30,"1,395,000","9,000","1,388,000","1,408,000","1,374,000","347,189",삼성전자
2014.07.29,"1,386,000","28,000","1,355,000","1,388,000","1,353,000","256,186",삼성전자
2014.07.28,"1,358,000","3,000","1,355,000","1,367,000","1,344,000","179,851",삼성전자
2014.07.25,"1,355,000",0,"1,346,000","1,355,000","1,335,000","175,803",삼성전자
2014.07.24,"1,355,000","17,000","1,350,000","1,358,000","1,331,000","161,034",삼성전자
2014.07.23,"1,338,000","10,000","1,354,000","1,357,000","1,335,000","128,346",삼성전자
2014.07.22,"1,348,000","5,000","1,348,000","1,358,000","1,345,000","126,019",삼성전자
2014.07.21,"1,353,000","10,000","1,349,000","1,360,000","1,343,000","161,199",삼성전자
2014.07.18,"1,343,000","13,000","1,315,000","1,343,000","1,314,000","194,853",삼성전자
2014.07.17,"1,330,000","9,000","1,326,000","1,335,000","1,320,000","218,454",삼성전자
2014.07.16,"1,321,000","1,000","1,313,000","1,323,000","1,311,000","182,284",삼성전자
2014.07.15,"1,320,000","34,000","1,300,000","1,323,000","1,297,000","239,521",삼성전자
2014.07.14,"1,286,000","2,000","1,298,000","1,300,000","1,286,000","141,643",삼성전자
2014.07.11,"1,284,000","22,000","1,300,000","1,302,000","1,282,000","215,592",삼성전자
2014.07.10,"1,306,000","2,000","1,308,000","1,311,000","1,302,000","179,204",삼성전자
2014.07.09,"1,308,000","13,000","1,287,000","1,308,000","1,283,000","236,598",삼성전자
2014.07.08,"1,295,000","3,000","1,294,000","1,319,000","1,287,000","241,464",삼성전자
2014.07.07,"1,292,000","14,000","1,291,000","1,301,000","1,290,000","188,741",삼성전자
2014.07.04,"1,306,000","12,000","1,322,000","1,326,000","1,303,000","119,577",삼성전자
2014.07.03,"1,318,000","12,000","1,336,000","1,336,000","1,316,000","170,861",삼성전자
2014.07.02,"1,330,000","20,000","1,317,000","1,331,000","1,306,000","222,785",삼성전자
2014.07.01,"1,310,000","12,000","1,308,000","1,314,000","1,301,000","174,508",삼성전자
2014.06.30,"1,322,000","11,000","1,310,000","1,324,000","1,309,000","177,621",삼성전자
2014.06.27,"1,311,000","14,000","1,307,000","1,319,000","1,306,000","179,061",삼성전자
2014.06.26,"1,325,000","5,000","1,309,000","1,343,000","1,307,000","255,306",삼성전자
2014.06.25,"1,320,000","25,000","1,330,000","1,333,000","1,318,000","204,638",삼성전자
2014.06.24,"1,345,000","23,000","1,340,000","1,354,000","1,332,000","237,817",삼성전자
2014.06.23,"1,322,000","21,000","1,321,000","1,332,000","1,316,000","249,765",삼성전자
2014.06.20,"1,301,000","22,000","1,330,000","1,330,000","1,296,000","478,053",삼성전자
2014.06.19,"1,323,000","35,000","1,345,000","1,349,000","1,320,000","446,794",삼성전자
2014.06.18,"1,358,000","16,000","1,373,000","1,376,000","1,356,000","220,887",삼성전자
2014.06.17,"1,374,000",0,"1,360,000","1,378,000","1,351,000","269,535",삼성전자
2014.06.16,"1,374,000","7,000","1,380,000","1,382,000","1,362,000","306,399",삼성전자
2014.06.13,"1,367,000","46,000","1,402,000","1,404,000","1,363,000","371,781",삼성전자
2014.06.12,"1,413,000","9,000","1,430,000","1,430,000","1,401,000","258,863",삼성전자
2014.06.11,"1,422,000","14,000","1,412,000","1,430,000","1,412,000","172,515",삼성전자
2014.06.10,"1,436,000","27,000","1,421,000","1,438,000","1,405,000","184,282",삼성전자
2014.06.09,"1,409,000","48,000","1,470,000","1,473,000","1,402,000","445,392",삼성전자
2014.06.05,"1,457,000","13,000","1,466,000","1,480,000","1,450,000","270,141",삼성전자
2014.06.03,"1,470,000","15,000","1,484,000","1,495,000","1,465,000","344,685",삼성전자
2014.06.02,"1,455,000","12,000","1,443,000","1,458,000","1,439,000","148,789",삼성전자
2014.05.30,"1,443,000","17,000","1,470,000","1,482,000","1,443,000","316,621",삼성전자
2014.05.29,"1,460,000","27,000","1,450,000","1,465,000","1,440,000","250,430",삼성전자
2014.05.28,"1,433,000","26,000","1,419,000","1,435,000","1,409,000","184,019",삼성전자
2014.05.27,"1,407,000","15,000","1,417,000","1,423,000","1,403,000","94,968",삼성전자
2014.05.26,"1,422,000","6,000","1,420,000","1,432,000","1,415,000","74,712",삼성전자
2014.05.23,"1,428,000","2,000","1,405,000","1,428,000","1,405,000","170,233",삼성전자
2014.05.22,"1,426,000","15,000","1,441,000","1,448,000","1,426,000","190,800",삼성전자
2014.05.21,"1,441,000","10,000","1,435,000","1,450,000","1,435,000","216,850",삼성전자
2014.05.20,"1,451,000","3,000","1,445,000","1,454,000","1,435,000","320,146",삼성전자
2014.05.19,"1,448,000","20,000","1,428,000","1,450,000","1,408,000","385,621",삼성전자
2014.05.16,"1,428,000","18,000","1,400,000","1,437,000","1,399,000","317,130",삼성전자
2014.05.15,"1,410,000","5,000","1,414,000","1,419,000","1,403,000","136,134",삼성전자
2014.05.14,"1,415,000","15,000","1,409,000","1,415,000","1,401,000","222,075",삼성전자
2014.05.13,"1,400,000","12,000","1,388,000","1,425,000","1,388,000","242,148",삼성전자
2014.05.12,"1,388,000","53,000","1,336,000","1,395,000","1,332,000","318,896",삼성전자
2014.05.09,"1,335,000","15,000","1,356,000","1,358,000","1,326,000","263,141",삼성전자
2014.05.08,"1,350,000","6,000","1,355,000","1,355,000","1,344,000","325,638",삼성전자
2014.05.07,"1,344,000","2,000","1,350,000","1,356,000","1,340,000","283,794",삼성전자
2014.05.02,"1,346,000","3,000","1,354,000","1,359,000","1,344,000","298,867",삼성전자
2014.04.30,"1,343,000","17,000","1,380,000","1,381,000","1,326,000","300,946",삼성전자
2014.04.29,"1,360,000","28,000","1,389,000","1,395,000","1,351,000","218,184",삼성전자
2014.04.28,"1,388,000","11,000","1,404,000","1,406,000","1,382,000","188,629",삼성전자
2014.04.25,"1,399,000","8,000","1,420,000","1,428,000","1,398,000","305,396",삼성전자
2014.04.24,"1,407,000","18,000","1,409,000","1,409,000","1,399,000","210,924",삼성전자
2014.04.23,"1,389,000","14,000","1,394,000","1,395,000","1,382,000","190,015",삼성전자
2014.04.22,"1,375,000","5,000","1,374,000","1,384,000","1,371,000","121,686",삼성전자
2014.04.21,"1,380,000","2,000","1,379,000","1,386,000","1,375,000","65,985",삼성전자
2014.04.18,"1,378,000","8,000","1,370,000","1,379,000","1,370,000","190,367",삼성전자
2014.04.17,"1,370,000","10,000","1,376,000","1,380,000","1,366,000","144,833",삼성전자
2014.04.16,"1,380,000","10,000","1,370,000","1,392,000","1,363,000","186,171",삼성전자
2014.04.15,"1,370,000",0,"1,386,000","1,387,000","1,369,000","219,396",삼성전자
2014.04.14,"1,370,000","5,000","1,365,000","1,386,000","1,365,000","211,720",삼성전자
2014.04.11,"1,365,000","15,000","1,362,000","1,368,000","1,359,000","213,187",삼성전자
2014.04.10,"1,380,000","9,000","1,369,000","1,380,000","1,360,000","199,984",삼성전자
2014.04.09,"1,371,000","23,000","1,394,000","1,395,000","1,364,000","321,232",삼성전자
2014.04.08,"1,394,000","3,000","1,387,000","1,399,000","1,375,000","212,164",삼성전자
2014.04.07,"1,397,000","17,000","1,397,000","1,397,000","1,374,000","215,235",삼성전자
2014.04.04,"1,380,000","10,000","1,377,000","1,397,000","1,377,000","368,007",삼성전자
2014.04.03,"1,390,000","33,000","1,351,000","1,395,000","1,351,000","381,976",삼성전자
2014.04.02,"1,357,000","18,000","1,350,000","1,357,000","1,343,000","262,001",삼성전자
2014.04.01,"1,339,000","4,000","1,345,000","1,345,000","1,331,000","221,620",삼성전자
2014.03.31,"1,343,000","8,000","1,345,000","1,345,000","1,322,000","265,197",삼성전자
2014.03.28,"1,335,000","2,000","1,320,000","1,338,000","1,320,000","212,974",삼성전자
2014.03.27,"1,333,000","48,000","1,290,000","1,333,000","1,285,000","417,557",삼성전자
2014.03.26,"1,285,000","38,000","1,269,000","1,290,000","1,248,000","348,894",삼성전자
2014.03.25,"1,247,000","26,000","1,269,000","1,270,000","1,241,000","272,500",삼성전자
2014.03.24,"1,273,000",0,"1,260,000","1,274,000","1,259,000","141,478",삼성전자
2014.03.21,"1,273,000","11,000","1,269,000","1,273,000","1,262,000","166,426",삼성전자
2014.03.20,"1,262,000","7,000","1,270,000","1,272,000","1,262,000","118,788",삼성전자
2014.03.19,"1,269,000","9,000","1,280,000","1,285,000","1,268,000","152,771",삼성전자
2014.03.18,"1,278,000","12,000","1,270,000","1,283,000","1,266,000","220,912",삼성전자
2014.03.17,"1,266,000","9,000","1,275,000","1,276,000","1,258,000","176,400",삼성전자
2014.03.14,"1,275,000","15,000","1,270,000","1,285,000","1,270,000","216,736",삼성전자
2014.03.13,"1,290,000","4,000","1,294,000","1,313,000","1,290,000","235,004",삼성전자
2014.03.12,"1,294,000","28,000","1,320,000","1,320,000","1,293,000","251,585",삼성전자
2014.03.11,"1,322,000","2,000","1,320,000","1,327,000","1,309,000","181,596",삼성전자
2014.03.10,"1,320,000","19,000","1,320,000","1,330,000","1,317,000","173,152",삼성전자
2014.03.07,"1,339,000","13,000","1,339,000","1,339,000","1,329,000","150,973",삼성전자
2014.03.06,"1,326,000","4,000","1,329,000","1,329,000","1,310,000","172,335",삼성전자
2014.03.05,"1,330,000","15,000","1,335,000","1,341,000","1,330,000","149,830",삼성전자
2014.03.04,"1,315,000","10,000","1,320,000","1,329,000","1,315,000","158,003",삼성전자
2014.03.03,"1,325,000","24,000","1,336,000","1,340,000","1,321,000","242,083",삼성전자
2014.02.28,"1,349,000","8,000","1,337,000","1,349,000","1,332,000","284,647",삼성전자
2014.02.27,"1,341,000","1,000","1,335,000","1,342,000","1,330,000","157,827",삼성전자
2014.02.26,"1,342,000","8,000","1,337,000","1,343,000","1,325,000","258,361",삼성전자
2014.02.25,"1,334,000","6,000","1,332,000","1,340,000","1,326,000","175,706",삼성전자
2014.02.24,"1,328,000","2,000","1,334,000","1,345,000","1,321,000","148,501",삼성전자
2014.02.21,"1,330,000","44,000","1,333,000","1,333,000","1,300,000","286,924",삼성전자
2014.02.20,"1,286,000","4,000","1,290,000","1,296,000","1,281,000","190,866",삼성전자
2014.02.19,"1,290,000","5,000","1,300,000","1,300,000","1,280,000","123,595",삼성전자
2014.02.18,"1,295,000","10,000","1,285,000","1,299,000","1,282,000","118,213",삼성전자
2014.02.17,"1,285,000","16,000","1,292,000","1,306,000","1,280,000","187,733",삼성전자
2014.02.14,"1,301,000","3,000","1,296,000","1,308,000","1,292,000","124,415",삼성전자
2014.02.13,"1,298,000","9,000","1,300,000","1,320,000","1,290,000","116,769",삼성전자
2014.02.12,"1,307,000","4,000","1,331,000","1,331,000","1,305,000","200,548",삼성전자
2014.02.11,"1,311,000","34,000","1,281,000","1,315,000","1,272,000","253,680",삼성전자
2014.02.10,"1,277,000","2,000","1,271,000","1,281,000","1,262,000","155,993",삼성전자
2014.02.07,"1,275,000","16,000","1,275,000","1,279,000","1,263,000","198,872",삼성전자
2014.02.06,"1,259,000","22,000","1,245,000","1,267,000","1,240,000","303,949",삼성전자
2014.02.05,"1,237,000","12,000","1,245,000","1,255,000","1,234,000","298,533",삼성전자
2014.02.04,"1,249,000","23,000","1,263,000","1,263,000","1,249,000","320,660",삼성전자
2014.02.03,"1,272,000","8,000","1,286,000","1,288,000","1,271,000","325,184",삼성전자
2014.01.29,"1,280,000","3,000","1,280,000","1,288,000","1,277,000","383,637",삼성전자
2014.01.28,"1,283,000","9,000","1,273,000","1,293,000","1,273,000","234,027",삼성전자
2014.01.27,"1,292,000","15,000","1,293,000","1,304,000","1,285,000","266,926",삼성전자
2014.01.24,"1,307,000","8,000","1,300,000","1,318,000","1,291,000","280,035",삼성전자
2014.01.23,"1,299,000","29,000","1,316,000","1,322,000","1,299,000","206,739",삼성전자
2014.01.22,"1,328,000","4,000","1,314,000","1,328,000","1,312,000","216,530",삼성전자
2014.01.21,"1,324,000","8,000","1,315,000","1,327,000","1,311,000","151,246",삼성전자
2014.01.20,"1,316,000","24,000","1,305,000","1,319,000","1,296,000","173,656",삼성전자
