date,closing_price,prev_price_diff,opening_price,high_price,low_price,volume
2022.03.14,"122,000",0,"121,500","124,000","121,000","842,386"
2022.03.11,"122,000","1,500","120,000","122,500","119,500","648,403"
2022.03.10,"120,500","2,500","121,000","121,500","119,000","878,951"
2022.03.08,"118,000","2,500","118,000","120,000","117,000","866,699"
2022.03.07,"120,500","3,000","121,500","122,000","119,000","957,534"
2022.03.04,"123,500","4,000","126,500","127,000","123,000","695,378"
2022.03.03,"127,500","4,000","125,000","128,000","124,500","799,782"
2022.03.02,"123,500",0,"123,000","125,000","122,000","678,583"
2022.02.28,"123,500",500,"123,500","123,500","121,000","851,199"
2022.02.25,"124,000",0,"126,000","126,500","123,000","714,011"
2022.02.24,"124,000","1,500","124,500","127,500","123,000","1,218,895"
2022.02.23,"125,500","4,000","123,000","127,000","122,000","1,198,273"
2022.02.22,"121,500","3,000","121,500","123,000","121,000","699,128"
2022.02.21,"124,500","1,000","120,500","124,500","120,000","680,962"
2022.02.18,"123,500",500,"122,000","124,000","121,000","684,818"
2022.02.17,"124,000","1,000","123,000","126,000","122,500","1,006,830"
2022.02.16,"123,000","1,000","124,500","125,000","122,500","679,538"
2022.02.15,"122,000","1,000","123,500","124,500","120,500","828,330"
2022.02.14,"123,000","3,500","124,000","126,000","121,500","982,772"
2022.02.11,"126,500","2,000","126,500","128,500","126,000","640,135"
2022.02.10,"128,500",500,"131,000","131,500","126,000","1,304,496"
2022.02.09,"129,000","5,000","126,000","129,000","125,500","1,151,000"
2022.02.08,"124,000","1,000","125,000","126,500","123,500","635,927"
2022.02.07,"125,000","3,000","127,500","127,500","124,000","907,137"
2022.02.04,"128,000","2,000","126,000","128,000","125,000","715,127"
2022.02.03,"126,000","1,500","130,000","130,500","126,000","1,236,485"
2022.01.28,"127,500","3,500","125,000","127,500","124,000","1,048,524"
2022.01.27,"124,000","5,000","129,500","130,500","122,500","1,588,541"
2022.01.26,"129,000","2,000","131,500","132,500","128,500","988,127"
2022.01.25,"131,000","3,000","134,500","135,500","130,000","1,448,593"
2022.01.24,"134,000",500,"132,000","136,000","130,000","1,502,530"
2022.01.21,"133,500","6,500","137,500","138,000","131,000","1,954,318"
2022.01.20,"140,000","3,000","137,500","140,000","136,000","1,103,779"
2022.01.19,"137,000","1,000","136,000","139,500","135,500","1,329,933"
2022.01.18,"138,000","2,500","140,500","142,000","137,500","1,340,867"
2022.01.17,"140,500","5,500","145,000","145,500","139,500","1,727,769"
2022.01.14,"146,000",500,"145,500","150,500","143,500","2,850,564"
2022.01.13,"145,500","8,500","139,000","150,000","139,000","5,019,347"
2022.01.12,"137,000","6,500","131,500","138,500","131,000","1,757,579"
2022.01.11,"130,500",500,"129,500","131,500","127,500","985,952"
2022.01.10,"130,000","7,500","135,500","136,000","129,000","1,784,965"
2022.01.07,"137,500","2,500","136,500","138,000","135,000","808,243"
2022.01.06,"135,000","3,500","136,000","139,000","134,500","1,038,777"
2022.01.05,"138,500","3,500","142,000","142,000","137,500","965,541"
2022.01.04,"142,000","2,500","143,000","145,000","140,000","1,419,997"
2022.01.03,"139,500","1,500","139,500","140,500","138,000","534,878"
2021.12.30,"138,000","2,500","140,000","140,500","138,000","703,821"
2021.12.29,"140,500","2,500","138,500","141,500","138,000","1,104,635"
2021.12.28,"138,000",0,"139,000","139,500","137,000","1,186,045"
2021.12.27,"138,000","1,500","136,500","140,000","135,500","958,151"
2021.12.24,"136,500",500,"137,000","138,000","134,000","1,170,212"
2021.12.23,"137,000","7,500","130,500","139,000","128,500","2,564,334"
2021.12.22,"129,500","1,000","132,000","132,500","129,000","703,187"
2021.12.21,"130,500","5,000","127,000","131,000","126,500","993,693"
2021.12.20,"125,500","4,000","128,500","129,000","125,500","864,094"
2021.12.17,"129,500",500,"128,000","131,500","127,500","944,383"
2021.12.16,"130,000",500,"131,500","132,500","129,000","705,254"
2021.12.15,"129,500","1,000","128,500","130,500","127,000","855,372"
2021.12.14,"128,500","5,500","132,500","133,500","128,000","1,506,380"
2021.12.13,"134,000","8,000","129,500","135,500","129,000","2,612,253"
2021.12.10,"126,000","3,000","122,000","126,000","121,500","671,405"
2021.12.09,"123,000",500,"122,500","125,000","122,000","1,151,051"
2021.12.08,"123,500","2,000","127,500","128,000","122,500","1,043,122"
2021.12.07,"125,500","1,500","124,000","126,000","121,500","720,765"
2021.12.06,"124,000","2,000","121,500","125,000","120,500","819,472"
2021.12.03,"122,000",0,"122,000","123,000","119,000","780,951"
2021.12.02,"122,000","2,000","118,000","122,000","118,000","725,845"
2021.12.01,"120,000","4,500","116,500","120,000","115,500","851,165"
2021.11.30,"115,500","4,000","120,500","122,000","115,000","1,809,765"
2021.11.29,"119,500","2,500","118,000","122,000","118,000","933,062"
2021.11.26,"122,000","3,500","125,500","126,500","121,500","872,482"
2021.11.25,"125,500","3,000","128,500","129,000","125,000","675,145"
2021.11.24,"128,500",500,"127,000","130,000","126,000","988,988"
2021.11.23,"128,000","6,000","132,500","133,000","127,000","1,329,955"
2021.11.22,"134,000",500,"133,500","136,000","131,500","1,670,033"
2021.11.19,"133,500","11,000","128,000","137,500","127,500","4,928,339"
2021.11.18,"122,500",500,"123,500","124,000","122,000","480,336"
2021.11.17,"123,000","1,000","124,500","125,000","122,000","524,897"
2021.11.16,"124,000",500,"124,500","125,500","123,000","565,313"
2021.11.15,"124,500","2,500","122,500","125,000","122,500","521,720"
2021.11.12,"122,000","4,500","118,000","122,000","118,000","734,937"
2021.11.11,"117,500","2,000","119,000","119,500","115,500","1,137,785"
2021.11.10,"119,500","3,500","122,000","123,000","119,000","707,984"
2021.11.09,"123,000",500,"123,000","125,000","122,000","497,844"
2021.11.08,"122,500",500,"123,000","123,500","120,500","478,858"
2021.11.05,"123,000",500,"123,500","124,500","121,500","470,484"
2021.11.04,"122,500",500,"124,000","126,000","122,000","769,589"
2021.11.03,"122,000","1,000","123,500","124,000","121,000","503,633"
2021.11.02,"123,000","2,500","121,000","124,500","120,500","915,388"
2021.11.01,"120,500",0,"121,000","122,000","119,500","761,704"
2021.10.29,"120,500","1,500","124,000","129,000","119,500","2,301,006"
2021.10.28,"122,000",0,"122,000","124,000","121,000","842,870"
2021.10.27,"122,000","3,500","125,500","126,000","121,500","912,547"
2021.10.26,"125,500","1,000","125,000","126,000","124,500","706,443"
2021.10.25,"124,500",500,"123,500","126,000","122,500","554,539"
2021.10.22,"125,000",500,"125,000","126,000","123,000","360,096"
2021.10.21,"125,500",500,"126,000","127,500","125,000","571,147"
2021.10.20,"125,000","1,500","126,500","127,500","125,000","579,159"
2021.10.19,"126,500","3,000","124,500","127,000","123,500","600,501"
2021.10.18,"123,500","3,000","127,500","127,500","123,500","716,291"
2021.10.15,"126,500","3,000","125,000","127,000","125,000","743,492"
2021.10.14,"123,500","1,500","123,500","125,500","122,500","950,533"
2021.10.13,"122,000","2,000","122,500","123,000","119,500","943,291"
2021.10.12,"124,000","4,000","121,000","125,500","119,000","1,793,542"
2021.10.08,"120,000","4,000","125,000","125,500","119,000","1,407,749"
2021.10.07,"124,000","4,000","121,000","125,000","120,000","907,601"
2021.10.06,"120,000","3,500","125,500","126,000","119,000","1,599,552"
2021.10.05,"123,500","2,000","123,000","125,500","121,000","1,158,497"
2021.10.01,"125,500","2,000","125,500","127,500","124,500","1,099,392"
2021.09.30,"127,500","2,000","128,500","129,000","125,000","1,505,941"
2021.09.29,"129,500","3,000","129,000","131,000","128,000","1,435,656"
2021.09.28,"132,500","6,000","138,000","138,500","132,500","1,667,863"
2021.09.27,"138,500","1,000","139,000","139,500","138,000","526,452"
2021.09.24,"139,500","1,000","142,000","142,500","139,000","865,310"
2021.09.23,"140,500","1,000","138,500","141,000","136,500","1,090,853"
2021.09.17,"139,500","1,500","140,500","141,000","139,000","799,115"
2021.09.16,"141,000","1,000","142,500","143,500","140,000","639,525"
2021.09.15,"142,000",500,"143,500","143,500","140,500","763,228"
2021.09.14,"142,500",500,"143,500","145,000","142,500","573,492"
2021.09.13,"143,000","3,500","144,000","144,500","141,500","808,784"
2021.09.10,"146,500","5,000","143,000","151,000","143,000","1,851,877"
2021.09.09,"141,500","2,500","144,000","145,500","141,500","955,728"
2021.09.08,"144,000","3,500","146,500","147,000","143,000","1,296,091"
2021.09.07,"147,500",500,"149,000","150,500","147,500","757,429"
2021.09.06,"148,000","5,500","151,000","151,500","146,500","1,611,682"
2021.09.03,"153,500","14,000","142,000","154,500","140,500","4,043,334"
2021.09.02,"139,500","1,500","140,500","141,000","139,000","667,898"
2021.09.01,"141,000","1,000","143,000","143,000","140,000","758,432"
2021.08.31,"142,000","2,500","139,500","142,000","138,000","1,035,617"
2021.08.30,"139,500","1,000","141,500","142,000","139,000","740,133"
2021.08.27,"140,500","1,000","141,000","141,000","139,000","593,281"
2021.08.26,"141,500",500,"142,000","145,000","140,500","806,681"
2021.08.25,"142,000",0,"142,500","144,500","139,500","806,947"
2021.08.24,"142,000","1,500","141,000","144,500","138,500","1,375,732"
2021.08.23,"140,500","6,000","145,500","146,000","138,000","1,780,072"
2021.08.20,"146,500","1,500","148,500","150,500","146,000","802,093"
2021.08.19,"148,000","5,500","151,500","153,000","148,000","737,444"
2021.08.18,"153,500","2,500","150,500","154,000","150,000","652,995"
2021.08.17,"151,000",500,"150,500","153,500","150,000","779,899"
2021.08.13,"150,500","2,500","153,500","154,000","148,000","916,837"
2021.08.12,"153,000","3,000","156,000","157,500","153,000","981,866"
2021.08.11,"156,000","1,500","157,500","158,500","155,500","536,980"
2021.08.10,"157,500","3,500","162,000","162,000","157,000","859,174"
2021.08.09,"161,000","4,000","157,500","162,000","157,000","1,152,308"
2021.08.06,"157,000","1,000","158,500","159,000","156,500","413,308"
2021.08.05,"158,000","2,000","159,500","160,000","158,000","560,669"
2021.08.04,"160,000","3,500","158,000","160,500","157,000","691,765"
2021.08.03,"156,500",0,"157,000","158,000","155,500","716,492"
2021.08.02,"156,500","1,000","157,500","158,500","155,000","809,541"
2021.07.30,"157,500","9,000","165,000","165,500","157,500","2,178,044"
2021.07.29,"166,500","2,500","165,500","167,000","164,000","770,794"
2021.07.28,"164,000","1,000","162,500","165,500","161,000","676,883"
2021.07.27,"163,000",0,"164,500","164,500","162,000","428,806"
2021.07.26,"163,000","3,500","167,500","168,000","163,000","849,316"
2021.07.23,"166,500","2,500","164,500","167,500","164,000","1,191,816"
2021.07.22,"164,000","1,000","163,500","164,500","162,000","806,953"
2021.07.21,"163,000",500,"163,000","164,500","161,500","829,143"
2021.07.20,"162,500","5,000","156,500","163,500","156,000","1,343,210"
2021.07.19,"157,500","3,000","159,000","159,000","157,000","598,680"
